example,cor1_type,cor2_type,rho1,rho2,n_main,n_interaction,lambda1_min,lambda1_max
1,1,1,0.3,0.3,16,12,0.02,0.2
1,1,1,0.7,0.7,16,12,0.02,0.2
1,2,2,0.3,0.3,16,12,0.02,0.2
1,2,2,0.5,0.5,16,12,0.02,0.2
1,3,3,1,1,16,12,0.02,0.2
1,4,4,1,1,16,12,0.02,0.2
2,1,1,0.3,0.3,8,6,0.02,0.2
2,1,1,0.7,0.7,8,6,0.02,0.2
2,2,2,0.3,0.3,8,6,0.02,0.2
2,2,2,0.5,0.5,8,6,0.02,0.2
2,3,3,1,1,8,6,0.02,0.2
2,4,4,1,1,8,6,0.02,0.2
3,1,1,0.3,0.3,12,0,0.02,0.2
3,1,1,0.7,0.7,12,0,0.02,0.2
3,2,2,0.3,0.3,12,0,0.02,0.2
3,2,2,0.5,0.5,12,0,0.02,0.2
3,3,3,1,1,12,0,0.02,0.2
3,4,4,1,1,12,0,0.02,0.2
4,1,1,0.3,0.3,4,20,0.02,0.2
4,1,1,0.7,0.7,4,20,0.02,0.2
4,2,2,0.3,0.3,4,20,0.02,0.2
4,2,2,0.5,0.5,4,20,0.02,0.2
4,3,3,1,1,4,20,0.02,0.2
4,4,4,1,1,4,20,0.02,0.2
